================================================================================
MEDDIN O-VISTA3D V3 PERFORMANCE
================================================================================

Category     Case            Mean     Kidney   Tumor    Cyst    
--------------------------------------------------------------------------------
BEST         case_00037      0.8698   0.8806   0.9198   0.8091
BEST         case_00058      0.8501   0.9238   0.8077   0.8187
BEST         case_00094      0.8431   0.9297   0.8200   0.7794

MEDIAN       case_00096      0.5262   0.9403   0.6384   0.0000
MEDIAN       case_00057      0.5150   0.8333   0.7116   0.0000
MEDIAN       case_00083      0.5117   0.9321   0.6030   0.0000

WORST        case_00040      0.2528   0.6986   0.0599   0.0000
WORST        case_00005      0.2330   0.5975   0.1015   0.0000

